Name,Bio,Phone,task_name,task_description,Actual_start_date_time,Actual_end_date_time,Planned_start_date_time,Planned_end_date_time,duration_planned,duration_actual,deadline_days,focus level,consistency level
Heather Roberson,"Least better same environmental figure physical will. Pass leave space especially follow bag financial. Doctor lead quite.
Wrong anyone song lot including official such. Approach finally administration power.",4223186855,Review Online Course Material,Watched video lectures or read assigned readings for an online course,1/2/2022 9:00:00,5/2/2022 18:00:00,25-01-2022 9:00,1/2/2022 18:00:00,40 hours,45 hours,6,61,68
Holly Morgan,"Kid style ever born. Less across century nearly agency.
Similar age herself born situation former fine. Small student floor art. Protect carry sometimes free put.
Main size nature. Red former nation particular traditional gas other.
Give the school debate job make. Mind sea along area.",02222996238,Create Mind Map,Visually organized ideas and information using a mind map tool,20-04-2022 11:00,20-04-2022 13:00,20-04-2022 10:00,20-04-2022 12:00,2 hours,2 hours,31,48,81
Holly Shaw,"Alone glass yet every. Almost lay from quickly pay character. Benefit practice story partner want number good.
Vote wear yard can similar budget. Lay especially first test PM community. Spend hope less reality far food heavy.
Trade ago only note. Shoulder blue education audience.",7056619641,Develop Project Plan,"Defined goals, deadlines, and tasks for a specific project",15-09-2020 9:00,15-09-2020 17:00,10/9/2020 9:00:00,15-09-2020 16:00,30 hours,32 hours,4,61,68
James Stevens,"Hour add coach debate large.
Of kid should sense necessary. Determine west low east contain deep bank. President nothing argue lay degree political natural.
Window oil building affect.",2985288757,Attend Industry Conference,Participate in an event to learn about industry trends and network with professionals,20-04-2022 11:00,20-04-2022 13:00,20-04-2022 10:00,20-04-2022 12:00,2 hours,2 hours,31,84,45
James Williams,"Past dinner your arm. News edge just material.
Include minute eight record poor. Matter perform new dream this song something.
Later participant success up whom thus. Surface there someone include ball. Raise prevent garden build charge street.
Success win group side.",00761817461,Write report,Drafted a section of a project report,20-04-2022 11:00,20-04-2022 13:00,20-04-2022 10:00,20-04-2022 12:00,2 hours,2 hours,31,88,41
Jason Sanchez,"Street less view man. Network woman shoulder writer walk week maintain. Main area behind owner traditional.
Poor phone them build. Life make star many.",+917580522438,Write Blog Post,Create and publish an informative or engaging blog article,10/11/2022 8:00:00,12/11/2022 17:00:00,1/11/2022 8:00:00,10/11/2022 17:00:00,40 hours,45 hours,9,63,66
Jason Sparks,"Research attention market recently head build nice. Happen increase south which if member. Laugh church training realize live.
Fire television successful prove. Cup green democratic attorney both poor stuff.
Power election song site fill take. Management not role either son exactly computer share.",4914250054,Negotiate Contract Terms,Discuss and reach an agreement on the terms of a contract,1/2/2022 9:00:00,5/2/2022 18:00:00,25-01-2022 9:00,1/2/2022 18:00:00,40 hours,45 hours,6,38,91
Jeff Edwards,"Also add visit painting. Political success a pass already resource carry. Collection court store own half girl yes.
And sure so old. Man stand staff control try. Figure issue half.
Movie message difference glass section or. History from area probably agree raise modern new.",+914890344061,Develop Product Roadmap,Outline the future direction and development plan for a product,1/2/2022 9:00:00,5/2/2022 18:00:00,25-01-2022 9:00,1/2/2022 18:00:00,40 hours,45 hours,6,85,44
Jennifer Fields,"Someone drug hold fund. Party less usually base amount medical official.
Want husband meet law partner mean all. Against before mission particular street.
Cover eye image high difficult security ready that. Process parent fall learn reason within.",05117081793,Brainstorm Ideas,Generated and discussed creative solutions or approaches to a problem,1/4/2021 9:00:00,5/4/2021 18:00:00,25-03-2021 9:00,1/4/2021 18:00:00,40 hours,45 hours,6,90,39
Jennifer Williams,"Everybody safe candidate protect church. True whose technology.
Send best among speech my most company. Media wait wrong. Indicate visit forward some difference staff.
Officer matter two design condition so about. May source nothing turn you. Environmental food adult source behavior scene.",2985288757,Manage Client Relationship,Maintain positive communication and build trust with clients,10/7/2020 10:00:00,15-07-2020 18:00,5/7/2020 10:00:00,10/7/2020 18:00:00,40 hours,45 hours,4,71,58
Jessica Medina,"Clearly expect popular society. Through collection success shoulder cold body. Outside hold around notice.
Ok mother stop near cut sing doctor. Source only machine find.
Suffer later keep. Few bill eat room tax ok parent.
Technology Mr her analysis. Prevent way individual all indeed must.",02365891116,Email follow-up,Responded to an email inquiry or sent a follow-up email,1/7/2022 9:00:00,5/7/2022 18:00:00,25-06-2022 9:00,1/7/2022 18:00:00,40 hours,45 hours,6,58,71
Jessica Phelps,"Hour add coach debate large.
Of kid should sense necessary. Determine west low east contain deep bank. President nothing argue lay degree political natural.
Window oil building affect.",+915950953172,Conduct Data Analysis,Interpret and extract insights from collected data,20-01-2021 11:00,20-01-2021 13:00,20-01-2021 10:00,20-01-2021 12:00,2 hours,2 hours,31,81,48
Jessica Snyder,"Stage value anything power. Others building agree hotel fact sister. Natural him bring specific care.
Help serious wish red room senior decade. Commercial design old fill. And rule often.
Why parent however rest pull. Thus paper day consumer tree. Adult after cold begin assume.",+910498024219,Prepare Travel Itinerary,"Researched and booked flights, hotels, and transportation for a business trip",1/2/2022 9:00:00,5/2/2022 18:00:00,25-01-2022 9:00,1/2/2022 18:00:00,40 hours,45 hours,6,77,52
Jillian Moore,"Tough office improve soon office idea too. Blood play base receive choose brother country but.
Policy place information artist contain budget bank must. Cut glass animal school design prevent.
Fear word attack every decision set. Determine follow key.",00433501902,Update Spreadsheet,"Added, edited, or analyzed data in a spreadsheet",10/10/2021 10:00:00,15-10-2021 18:00,5/10/2021 10:00:00,10/10/2021 18:00:00,40 hours,45 hours,4,76,53
Joel Turner,"Able break quality along admit. Put institution grow home family civil. Debate have attack that so military professor.
Technology position whether least human. Never nice example paper require sport. Senior cell land at have management research.",08519173491,Manage Team Communication,Facilitate information exchange and collaboration among team members,10/8/2022 10:00:00,15-08-2022 18:00,5/8/2022 10:00:00,10/8/2022 18:00:00,40 hours,45 hours,4,64,65
Jonathan Collins,"Never officer student war door report two. Degree tax crime image.
Difference war her. Develop she top any effect. Official major stop financial professional deep mouth.
Each summer determine ask career a month season. Camera employee move.",09379024120,Develop Crisis Communication Plan,Outline strategies to effectively communicate during a crisis situation,20-08-2020 11:00,20-08-2020 11:30,20-08-2020 10:00,20-08-2020 11:00,1 hour,30 minutes,31,88,41
Jonathan Hull,"Consumer herself use most customer performance machine.
Get begin agreement too guess join sign real. Treatment south food someone face note town two. Eat still chance always direction. Total bar forward positive.",+917931208856,Develop Crisis Communication Plan,Outline strategies to effectively communicate during a crisis situation,10/1/2020 8:00:00,15-01-2020 17:00,01-01-2020 8.00,10/1/2020 17:00:00,40 hours,45 hours,9,41,88
Juan Hudson,"Relationship employee white movie face professional adult. Property whole attorney appear somebody.
Next power dream card develop recent serious summer. Kind push unit. We view above TV black single foot.",04550773851,Develop Product Prototype,Create a preliminary version of a product to test and gather feedback,1/6/2020 9:00:00,5/6/2020 18:00:00,25-05-2020 9:00,1/6/2020 18:00:00,40 hours,45 hours,6,83,46
Katrina Sutton,"For customer she. Admit tree teacher customer.
Face each human play past generation.
Budget tonight home fact rock likely. Dark decision let he remain peace use whole. Say tell from defense place.
Sort soon throughout sure. Or generation natural case owner.",07489506561,Write Blog Post,Create and publish an informative or engaging blog article,10/1/2023 10:00:00,15-01-2023 18:00,5/1/2023 10:00:00,10/1/2023 18:00:00,40 hours,45 hours,4,53,76
Kelli Riley,"Discover parent ahead consider travel according. Even garden each ready environment kind require.
Left group hear room subject save where. Often green night way. Large offer tax break eat speech.
Participant theory religious result report. American politics produce red far boy.",8936417413,Develop Product Prototype,Create a preliminary version of a product to test and gather feedback,20-04-2022 11:00,20-04-2022 13:00,20-04-2022 10:00,20-04-2022 12:00,2 hours,2 hours,31,72,57
Kelly Molina,"Past dinner your arm. News edge just material.
Include minute eight record poor. Matter perform new dream this song something.
Later participant success up whom thus. Surface there someone include ball. Raise prevent garden build charge street.
Success win group side.",+911443769185,Troubleshoot Software Issue,Diagnosed and resolved a technical problem with software or applications,15-05-2022 14:00,15-05-2022 17:00,15-05-2022 13:00,15-05-2022 16:00,3 hours,3 hours,31,45,84
Kristen Casey,"Different responsibility identify imagine professor. Administration evening election state perhaps story adult very. Spring bag act interest others.
Speech special training seven coach science modern. Continue whether who traditional. Defense simply computer teacher third need among.",+913795362602,Create Design Mockup,Developed a visual representation of a design concept using design software,1/12/2022 9:00:00,5/12/2022 18:00:00,25-11-2022 9:00,1/12/2022 18:00:00,40 hours,45 hours,6,87,42
Kristen Singleton,"Run through war along focus lay.
Impact among without space how doctor deal sure. True car law claim know market.
Across population nor baby girl because force. Quality treatment finally represent.
Treatment start serious. Gas rest nice factor war. Herself energy he can century court also.",08637222053,Conduct Market Research,Gather information about a target market and their needs,20-03-2020 10:00,20-03-2020 12:00,20-03-2020 9:00,20-03-2020 11:00,2 hours,2 hours,31,77,52
